Line	Rep	Year	Loc	Phe
A239	2	2023	cn	61
A272	2	2023	cn	70
A441-5	2	2023	cn	67.5
A554	2	2023	cn	66
A556	2	2023	cn	65
A6	2	2023	cn	80.5
A619	2	2023	cn	61
A632	2	2023	cn	61
A634	2	2023	cn	59
A635	2	2023	cn	64
A641	2	2023	cn	66
A654	2	2023	cn	64
A659	2	2023	cn	58.5
A661	2	2023	cn	59
A679	2	2023	cn	66
A680	2	2023	cn	65.5
A682	2	2023	cn	57.5
AB28A	2	2023	cn	78
B10	2	2023	cn	69
B103	2	2023	cn	57.5
B104	2	2023	cn	64.5
B105	2	2023	cn	68
B109	2	2023	cn	64
B115	2	2023	cn	65.5
B14A	2	2023	cn	63.5
B164	2	2023	cn	58
B2	2	2023	cn	70
B37	2	2023	cn	65.5
B46	2	2023	cn	69
B52	2	2023	cn	70
B57	2	2023	cn	65
B64	2	2023	cn	68.5
B68	2	2023	cn	71.5
B73	2	2023	cn	70
B73HTRHM	2	2023	cn	67
B75	2	2023	cn	62
B76	2	2023	cn	61.5
B77	2	2023	cn	65
B79	2	2023	cn	66.5
B84	2	2023	cn	67.5
B97	2	2023	cn	60.5
C103	2	2023	cn	66.5
C123	2	2023	cn	62.5
C49	2	2023	cn	55.5
C49A	2	2023	cn	57
CH701-30	2	2023	cn	60
CH9	2	2023	cn	67.5
CI187-2	2	2023	cn	70.5
CI21E	2	2023	cn	68
CI28A	2	2023	cn	66.5
CI31A	2	2023	cn	73
CI3A	2	2023	cn	70
CI44	2	2023	cn	73
CI64	2	2023	cn	70.5
CI66	2	2023	cn	75
CI7	2	2023	cn	68.5
CI90C	2	2023	cn	67.5
CI91B	2	2023	cn	66.5
CM105	2	2023	cn	65.5
CM174	2	2023	cn	64
CM37	2	2023	cn	57.5
CM7	2	2023	cn	61.5
CML10	2	2023	cn	77
CML103	2	2023	cn	69
CML108	2	2023	cn	71.5
CML11	2	2023	cn	80.5
CML14	2	2023	cn	82
CML154Q	2	2023	cn	72.5
CML157Q	2	2023	cn	71.5
CML158Q	2	2023	cn	74.5
CML218	2	2023	cn	69
CML220	2	2023	cn	63.5
CML228	2	2023	cn	72.5
CML238	2	2023	cn	74
CML247	2	2023	cn	78
CML254	2	2023	cn	NaN
CML258	2	2023	cn	81
CML261	2	2023	cn	77
CML264	2	2023	cn	82
CML277	2	2023	cn	75
CML281	2	2023	cn	81
CML287	2	2023	cn	75
CML311	2	2023	cn	NaN
CML314	2	2023	cn	69
CML321	2	2023	cn	79.5
CML322	2	2023	cn	68
CML323	2	2023	cn	70.5
CML328	2	2023	cn	65
CML331	2	2023	cn	77
CML332	2	2023	cn	70.5
CML333	2	2023	cn	69
CML341	2	2023	cn	73
CML349	2	2023	cn	68.5
CML38	2	2023	cn	75.5
CML45	2	2023	cn	82.5
CML5	2	2023	cn	78
CML52	2	2023	cn	81
CML69	2	2023	cn	73.5
CML77	2	2023	cn	68.5
CML91	2	2023	cn	69.5
CML92	2	2023	cn	71.5
CMV3	2	2023	cn	59.5
CO106	2	2023	cn	55
CO109	2	2023	cn	61.5
CO125	2	2023	cn	60
CO255	2	2023	cn	61.5
D940Y	2	2023	cn	71.5
DE1	2	2023	cn	69
DE2	2	2023	cn	65.5
DE3	2	2023	cn	65
DE811	2	2023	cn	72.5
E2558W	2	2023	cn	67.5
EP1	2	2023	cn	62
F2	2	2023	cn	63.5
F2834T	2	2023	cn	62
F44	2	2023	cn	75
F6	2	2023	cn	77
F7	2	2023	cn	58
GA209	2	2023	cn	74.5
GT112	2	2023	cn	78.5
H100	2	2023	cn	64.5
H105W	2	2023	cn	61.5
H49	2	2023	cn	61.5
H84	2	2023	cn	64
H91	2	2023	cn	64.5
H95	2	2023	cn	65.5
H99	2	2023	cn	68.5
HI27	2	2023	cn	71
HP301	2	2023	cn	61.5
HY	2	2023	cn	64.5
I137TN	2	2023	cn	69
I205	2	2023	cn	66
I29	2	2023	cn	63
IA2132	2	2023	cn	67
IA5125	2	2023	cn	64
IDS28	2	2023	cn	63
IDS69	2	2023	cn	65
IDS91	2	2023	cn	62.5
IL101	2	2023	cn	65
IL14H	2	2023	cn	61
IL677A	2	2023	cn	64.5
K148	2	2023	cn	65.5
K4	2	2023	cn	69
K55	2	2023	cn	67.5
K64	2	2023	cn	67.5
KI11	2	2023	cn	74.5
KI14	2	2023	cn	78
KI2007	2	2023	cn	67.5
KI2021	2	2023	cn	75
KI21	2	2023	cn	70.5
KI3	2	2023	cn	72
KI43	2	2023	cn	76
KI44	2	2023	cn	71
KY21	2	2023	cn	70.5
KY226	2	2023	cn	72.5
KY228	2	2023	cn	75.5
L317	2	2023	cn	65.5
L578	2	2023	cn	72.5
M14	2	2023	cn	59.5
M162W	2	2023	cn	74.5
M37W	2	2023	cn	70
MEF15655	2	2023	cn	65
MEF156-55-2	2	2023	cn	NaN
MO17	2	2023	cn	59.5
MO18W	2	2023	cn	70.5
MO1W	2	2023	cn	65
MO24W	2	2023	cn	67.5
MO44	2	2023	cn	57.5
MO45	2	2023	cn	65.5
MO46	2	2023	cn	65
MO47	2	2023	cn	59
MOG	2	2023	cn	65
MP339	2	2023	cn	71.5
MS1334	2	2023	cn	66
MS153	2	2023	cn	59
MS71	2	2023	cn	57
MT42	2	2023	cn	59
N192	2	2023	cn	57.5
N28HT	2	2023	cn	66.5
N6	2	2023	cn	61
N7A	2	2023	cn	63.5
NC222	2	2023	cn	70.5
NC230	2	2023	cn	70
NC232	2	2023	cn	68.5
NC236	2	2023	cn	72.5
NC238	2	2023	cn	78
NC250	2	2023	cn	64
NC258	2	2023	cn	70
NC260	2	2023	cn	63
NC262	2	2023	cn	59
NC264	2	2023	cn	65
NC268	2	2023	cn	69.5
NC290A	2	2023	cn	61.5
NC292	2	2023	cn	65.5
NC294	2	2023	cn	66.5
NC296	2	2023	cn	67
NC296A	2	2023	cn	68.5
NC298	2	2023	cn	72.5
NC300	2	2023	cn	70
NC302	2	2023	cn	67.5
NC304	2	2023	cn	65
NC306	2	2023	cn	68
NC308	2	2023	cn	66
NC310	2	2023	cn	65
NC312	2	2023	cn	69.5
NC314	2	2023	cn	66
NC316	2	2023	cn	69
NC318	2	2023	cn	72
NC320	2	2023	cn	71.5
NC322	2	2023	cn	71.5
NC324	2	2023	cn	68
NC326	2	2023	cn	67
NC328	2	2023	cn	66
NC33	2	2023	cn	72
NC330	2	2023	cn	70
NC332	2	2023	cn	71
NC334	2	2023	cn	70.5
NC336	2	2023	cn	75.5
NC338	2	2023	cn	70
NC340	2	2023	cn	65.5
NC342	2	2023	cn	64.5
NC344	2	2023	cn	70.5
NC346	2	2023	cn	68
NC348	2	2023	cn	67
NC350	2	2023	cn	69.5
NC352	2	2023	cn	72
NC354	2	2023	cn	71.5
NC356	2	2023	cn	66.5
NC358	2	2023	cn	63
NC360	2	2023	cn	71.5
NC362	2	2023	cn	63
NC364	2	2023	cn	64.5
NC366	2	2023	cn	72.5
NC368	2	2023	cn	69
NC370	2	2023	cn	72.5
NC372	2	2023	cn	68
ND246	2	2023	cn	54.5
OH40B	2	2023	cn	67.5
OH43	2	2023	cn	61
OH43E	2	2023	cn	61
OH603	2	2023	cn	65.5
OH7B	2	2023	cn	72.5
OS420	2	2023	cn	60.5
P39	2	2023	cn	64
PA762	2	2023	cn	67
PA875	2	2023	cn	65.5
PA880	2	2023	cn	64.5
PA91	2	2023	cn	68.5
Q6199	2	2023	cn	85
R109B	2	2023	cn	65
R168	2	2023	cn	64.5
R177	2	2023	cn	61
R229	2	2023	cn	67
R4	2	2023	cn	67
SA24	2	2023	cn	65
SC213R	2	2023	cn	76
SC357	2	2023	cn	74.5
SC55	2	2023	cn	75
SD40	2	2023	cn	60
SD44	2	2023	cn	61.5
SG1533	2	2023	cn	62.5
SG18	2	2023	cn	63.5
T232	2	2023	cn	70
T234	2	2023	cn	68.5
T8	2	2023	cn	70.5
TX303	2	2023	cn	71
TX601	2	2023	cn	78.5
TZI10	2	2023	cn	78
TZI11	2	2023	cn	71.5
TZI16	2	2023	cn	74
TZI18	2	2023	cn	70
TZI25	2	2023	cn	72.5
TZI8	2	2023	cn	72.5
TZI9	2	2023	cn	72
U267Y	2	2023	cn	75.5
VA102	2	2023	cn	65
VA14	2	2023	cn	66.5
VA17	2	2023	cn	63.5
VA22	2	2023	cn	66
VA26	2	2023	cn	61
VA35	2	2023	cn	63
VA59	2	2023	cn	60.5
VA85	2	2023	cn	62.5
VA99	2	2023	cn	67.5
VAW6	2	2023	cn	62.5
W117HT	2	2023	cn	66
W153R	2	2023	cn	66
W182B	2	2023	cn	62.5
W22	2	2023	cn	63.5
W401	2	2023	cn	58.5
W64A	2	2023	cn	62.5
WD	2	2023	cn	62.5
WF9	2	2023	cn	64.5
YU796NS	2	2023	cn	64
