GeneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CFLAR	2549.884543	1.154936781	0.117404843	9.842117686	7.41E-23	5.54E-21
TFPI	4479.480108	-0.195156138	0.144739473	-1.338872863	0.180612065	0.381243311
NDUFAF7	291.4165906	-0.054400455	0.131094375	-0.413981479	0.678887671	0.837732902
RBM5	2121.853101	-0.190606393	0.092745258	-2.056584264	0.039726233	0.125554515
MTMR7	25.54641491	0.798041736	0.297305157	2.688873037	0.007169368	0.032051776
SLC7A2	38.48629484	0.518664463	0.298358307	1.429450142	0.152874895	0.33987676
ARF5	1227.458372	0.356892096	0.08619594	4.138618476	3.49E-05	0.000308613
SARM1	85.05799654	-0.156648337	0.202773816	-0.777147937	0.437071495	0.658749972
POLDIP2	1462.956968	0.136954994	0.084917983	1.610910276	0.10719928	0.263087216
PLXND1	3641.618752	-0.041078761	0.109960161	-0.391189738	0.695656993	0.847439868
AK2	1227.370317	0.026189197	0.117067102	0.209438569	0.834105886	0.922152037
CD38	1.320328401	-0.230770294	0.287798235	-0.635364326	0.525190829	NA
FKBP4	467.3923828	-0.0764039	0.11056635	-0.693240829	0.488158429	0.699814746
KDM1A	1240.483123	-0.300465117	0.085591858	-3.510564531	0.000447156	0.00299177
RBM6	1288.105925	-0.19056351	0.089518299	-2.126234796	0.033483714	0.110341446
CAMKK1	78.29007188	-0.525492456	0.238761231	-2.105121442	0.035280738	0.114971621
RECQL	1037.141653	0.356980985	0.09907443	3.604688685	0.000312527	0.002192465
VPS50	479.9078018	-0.034480824	0.109445103	-0.31513074	0.75266239	0.880285791
HSPB6	2779.634272	-0.077835842	0.087808025	-0.885387067	0.375947905	0.600716513
ARHGAP33	97.39524233	-0.379153702	0.198017012	-1.931461266	0.053426035	0.157921818
NDUFAB1	366.4204923	0.095934834	0.123829043	0.780318662	0.435203331	0.65688529
PDK4	914.3675103	1.475734932	0.368930113	4.198617663	2.69E-05	0.000244957
SLC22A16	0	NA	NA	NA	NA	NA
ZMYND10	12.83928603	-0.279066539	0.358021217	-0.757087103	0.44899768	0.668020939
ABCB5	18.06237431	-1.169612494	0.355520075	-3.042699531	0.002344663	0.012573578
ARX	0	NA	NA	NA	NA	NA
SLC25A13	150.7422582	-0.003347112	0.164335881	-0.032500414	0.974072986	0.986774164
ST7	413.1508754	-0.550600581	0.131578311	-4.171737157	3.02E-05	0.000271605
CDC27	1521.121219	0.048550906	0.085928773	0.564786423	0.572219043	0.76545073
SLC4A1	0	NA	NA	NA	NA	NA
CALCR	0	NA	NA	NA	NA	NA
HCCS	438.3548983	-0.147728736	0.128681969	-1.142684985	0.253169406	0.473245564
DVL2	994.0466005	-0.319381385	0.095206116	-3.358063203	0.000784907	0.00491858
PRSS22	0	NA	NA	NA	NA	NA
UPF1	2266.037673	0.231591297	0.080734242	2.867586094	0.004136163	0.020273168
SKAP2	757.0027693	0.207918384	0.107052097	1.943794949	0.051920183	0.154641537
SLC25A5	1121.251385	-0.037420966	0.092233132	-0.403243729	0.686768933	0.842283313
MCUB	212.1346902	0.080122784	0.148548804	0.529686162	0.596329544	0.782873658
HOXA11	0.424949578	-0.070104872	0.173021305	-0.356620634	0.721375828	NA
POLR2J	819.5354709	0.051211661	0.10597073	0.480927049	0.630568347	0.806664644
DHX33	485.9692487	0.346046646	0.127795414	2.701182309	0.006909345	0.031170495
MEOX1	0.442059148	-0.104262389	0.152941167	-0.435711574	0.663046007	NA
THSD7A	10.57602167	0.345499623	0.361974372	0.950939497	0.34163509	0.567928005
LIG3	206.1300512	-0.369214982	0.163245856	-2.311687162	0.020794929	0.075766126
RPAP3	312.8906688	-0.219764811	0.1320764	-1.673046552	0.094318132	0.239075472
ACSM3	8.754901718	-0.005162089	0.370225001	0.036189127	0.971131556	0.984944494
REXO5	75.49212091	-0.318969971	0.237090997	-1.387524615	0.165281851	0.359176368
CIAPIN1	456.2557956	0.157680004	0.10734688	1.471901563	0.141047462	0.321312496
SPPL2B	660.4880863	0.058852131	0.10574733	0.554113506	0.579501167	0.770825403
ATOSB	704.7518084	-0.184349575	0.106226305	-1.73462771	0.082806768	0.217065248
COPZ2	1019.403349	-0.101225417	0.090554744	-1.116476258	0.264218328	0.487185455
PRKAR2B	298.5167448	0.574418025	0.171423102	3.318751336	0.000904209	0.005550962
MSL3	463.0249665	0.138051663	0.121918024	1.125945877	0.260188429	0.481752728
CREBBP	2562.279043	-0.104260365	0.099418038	-1.054515534	0.291646953	0.518896982
TSPOAP1	152.5119684	0.223576633	0.178114894	1.241302358	0.214494074	0.424852798
MPO	4.511998819	-0.006829879	0.356752735	0.177240235	0.859319693	0.933406403
PON1	0.106531894	-0.023492652	0.152128056	-0.149036282	0.881525004	NA
GCFC2	257.7159014	0.138992164	0.129167832	1.075086163	0.282336154	0.507545252
WDR54	232.748073	0.284752507	0.163567294	1.737406327	0.082315475	0.21613958
CROT	422.8990769	-0.238938478	0.129943141	-1.840204297	0.065738249	0.184485968
ABCB4	33.75279757	-0.953555553	0.289596874	-3.146303406	0.001653484	0.009311505
KMT2E	1700.549049	0.079184136	0.087673612	0.903166674	0.366437442	0.592062814
RHBDD2	852.0960257	-0.114264339	0.096284901	-1.1905891	0.233814933	0.44894307
SOX8	4.442272664	-0.381223289	0.364543113	-1.314998673	0.188510348	0.392273759
IBTK	1160.567805	-0.059107625	0.095367294	-0.622216946	0.533799225	0.736424285
ZNF195	211.0196594	-0.296696243	0.14839774	-1.994383331	0.046110179	0.141140642
MYCBP2	2425.273514	-0.0265062	0.090277716	-0.29409357	0.768686404	0.887860209
FBXL3	1411.731035	0.454042036	0.108915478	4.167035435	3.09E-05	0.00027663
ITGAL	0.667670128	-0.191376404	0.219994128	-0.832796284	0.404959631	NA
PDK2	643.5347479	-0.070274358	0.113774938	-0.621123849	0.534518139	0.736959506
ITGA3	1287.098813	0.337517519	0.123923926	2.693502547	0.007070561	0.03171479
ZFX	788.2215967	0.076307014	0.094056835	0.805743385	0.420390828	0.64386261
LAMP2	5179.995086	0.061431136	0.073310457	0.837431745	0.402349928	0.62593111
ITGA2B	8.405856446	-0.128954399	0.37321106	-0.391250035	0.695612428	0.847439868
ASB4	0	NA	NA	NA	NA	NA
GDE1	2208.381247	0.161792087	0.083559372	1.936976364	0.052748233	0.15639195
REX1BD	373.0709322	-0.046943518	0.133360031	-0.339650211	0.73411996	0.869574861
CRLF1	146.4491755	0.245622999	0.204327658	1.273605357	0.202803313	0.409858487
OSBPL7	160.6912126	-0.90011587	0.169279399	-5.325654806	1.01E-07	1.46E-06
TMEM98	3093.490611	-0.036309366	0.077266415	-0.471379716	0.637369599	0.81071627
YBX2	0.761146267	-0.147600813	0.205323009	-0.72047327	0.471233652	NA
KRT33A	0	NA	NA	NA	NA	NA
MAP3K14	197.3391938	-0.646671208	0.184362892	-3.564658051	0.000364331	0.002504133
ABCC8	0	NA	NA	NA	NA	NA
CACNG3	0	NA	NA	NA	NA	NA
TMEM132A	434.9799421	-0.494288866	0.116138841	-4.259896621	2.05E-05	0.000193447
AP2B1	6755.118112	0.036158112	0.102253618	0.351908189	0.724907117	0.864652708
TAC1	0.664477079	0.08825473	0.154827975	0.099714753	0.920570788	NA
ZNF263	553.3701292	0.094035422	0.119467409	0.78414631	0.432954265	0.655010056
CX3CL1	9.61131694	0.767433895	0.369419095	1.951914103	0.050948404	0.152527936
SPATA20	1372.520645	-0.112483025	0.086170783	-1.305662272	0.191667434	0.395857493
CACNA1G	63.1198115	-1.223277531	0.246071556	-5.127371532	2.94E-07	3.95E-06
TNFRSF12A	560.1331341	-0.218487326	0.196747102	-1.23166606	0.218073853	0.429221236
DLX6	0	NA	NA	NA	NA	NA
MAP3K9	5.155686915	-0.10988413	0.37357454	-0.142668876	0.886551699	0.945797066
RALA	1097.970737	-0.550715811	0.114469487	-4.797689336	1.61E-06	1.87E-05
BAIAP2L1	152.234486	-0.202791359	0.158679249	-1.281896002	0.199879131	0.40609005
KDM7A	396.4337942	-0.008758654	0.176552709	-0.067921543	0.945848089	0.974041398
ETV1	200.1321888	-0.24747495	0.195748267	-1.272371498	0.203241156	0.410470045
AGK	309.793426	-0.000573185	0.121851151	-0.004743225	0.996215468	0.997812889
ALDH3B1	1144.737162	0.431625537	0.11429599	3.79346998	0.000148557	0.001134961
TTC22	0	NA	NA	NA	NA	NA
PHTF2	1072.846555	-0.428684853	0.094733351	-4.5191153	6.21E-06	6.55E-05
CCL26	4.034512934	-0.054421249	0.367164071	-0.201948654	0.839956866	0.925084027
FARP2	879.3855018	0.579118841	0.113018288	5.124119741	2.99E-07	4.01E-06
USH1C	0	NA	NA	NA	NA	NA
GGCT	194.6105231	-0.157325012	0.153114869	-1.049808292	0.293806262	0.520991771
DBF4	85.6510831	-0.336835471	0.192901459	-1.747615373	0.080530652	0.212678277
TBXA2R	65.91228201	-0.589446841	0.218697629	-2.686078076	0.007229619	0.03226964
IFRD1	1076.604409	-0.048002058	0.092474709	-0.517506084	0.604802923	0.788837104
LGALS14	0	NA	NA	NA	NA	NA
COX10	184.584664	0.210561243	0.15860332	1.318221081	0.187429651	0.39078652
GTF2IRD1	281.5783671	-0.21693328	0.145864356	-1.505610021	0.132167315	0.306786964
PAF1	1103.623029	-0.204155578	0.09887413	-2.059695804	0.039427631	0.124812869
VPS41	2220.463441	-0.06681968	0.084230711	-0.796126398	0.425958572	0.649217049
ARHGAP44	35.64548553	-0.032927891	0.270485605	-0.165164933	0.868814165	0.938011754
ELAC2	925.5942741	0.156499085	0.103694693	1.511179599	0.130742699	0.304364637
SCIN	1.910178528	0.009694464	0.328793989	-0.093346212	0.925628521	NA
ARSD	439.468643	-0.006952449	0.126898745	-0.072424785	0.942263861	0.971824348
PNPLA4	148.3001113	0.010081821	0.173576057	0.060690603	0.951605616	0.976757971
MYH13	10.25233811	1.362129424	0.37426268	3.519751017	0.000431952	0.00290248
ADIPOR2	1096.04014	0.233661542	0.090703519	2.576444759	0.009982215	0.042118962
CDKL3	11.68556671	-0.486004829	0.356519645	-1.360371162	0.1737125	0.372162235
UPP2	1.799743733	-0.24283775	0.302716851	-1.131885775	0.25768246	NA
PRSS21	1.693357318	0.022682426	0.289744711	-0.098800009	0.921297061	NA
MARK4	783.0406863	0.083918648	0.10035194	0.836285091	0.402994538	0.626871472
PROM1	0.318417684	-0.024314729	0.152222459	-0.13189882	0.895064322	NA
CCDC124	650.7021754	0.231139306	0.111298051	2.070324829	0.038421936	0.122573432
CEACAM21	0	NA	NA	NA	NA	NA
PAFAH1B1	3296.822317	0.100979665	0.074318649	1.3586541	0.174256223	0.372520683
NOS2	1.483937766	-0.07546334	0.27109803	0.14577573	0.884098436	NA
DNAH9	0.684709742	-0.085108755	0.221118259	-0.361043311	0.71806707	NA
BLTP2	4262.275646	-0.011075602	0.08602252	-0.131288318	0.895547233	0.950162227
SLC13A2	0	NA	NA	NA	NA	NA
GAS7	427.8230709	-1.2743577	0.178060031	-7.389124429	1.48E-13	4.61E-12
TRAPPC6A	129.2072301	0.237209652	0.199032445	1.178652568	0.23853655	0.454825822
MATK	0.089435752	0.038613367	0.152128056	0.235307714	0.813969908	NA
CEACAM7	0	NA	NA	NA	NA	NA
CD79B	2.082426736	0.110081868	0.285980971	0.517785695	0.6046078	NA
SCN4A	0.782284793	-0.061749762	0.230278893	-0.358388875	0.720052316	NA
ST7L	154.3089848	0.121352463	0.176110074	0.641809365	0.520996968	0.727066228
TKTL1	0	NA	NA	NA	NA	NA
PAX6	32.26654318	0.23626132	0.279712833	0.891350757	0.372741026	0.597610254
RPUSD1	251.4511693	0.10225268	0.132374343	0.753457261	0.451175185	0.669990374
RHBDF1	1830.867367	0.058126788	0.096045062	0.599259238	0.549000025	0.74737899
LUC7L	670.8163634	-0.175221124	0.09923313	-1.765781198	0.077432564	0.206851084
CACNA2D2	17.93658054	0.291460072	0.351336909	0.646414339	0.518011057	0.724919634
BAIAP3	8.166151499	0.206092081	0.369736072	0.564803052	0.572207731	0.76545073
TSR3	452.8151106	0.097492565	0.12244748	0.788382835	0.430472808	0.65287663
PIGQ	648.2051425	0.153573851	0.125298925	1.221776708	0.221792079	0.434186424
CRAMP1	211.1589071	0.085213121	0.142622064	0.596478995	0.550855282	0.748469163
TEAD3	1622.172818	0.583114165	0.083657959	6.970899732	3.15E-12	8.22E-11
SELE	0	NA	NA	NA	NA	NA
DNAJC11	615.3735518	0.027037072	0.099937653	0.268967206	0.787954919	0.897380251
FMO3	861.293286	0.234654662	0.110385461	2.125208614	0.03356921	0.110547612
MYLIP	340.4562824	-0.489493293	0.120028382	-4.075557952	4.59E-05	0.000395607
NOX1	9.826100194	0.374055981	0.363307659	1.075429441	0.282182506	0.507434595
E2F2	1.339860509	0.317012515	0.274285055	1.059063641	0.289570797	NA
PSMB1	1523.243401	0.037921314	0.081997232	0.462926446	0.643417091	0.815419679
SYN1	18.08311569	0.477276501	0.337906707	1.477734692	0.139478805	0.318994399
JARID2	301.7533422	0.421620668	0.140587557	2.991385765	0.002777144	0.014518877
CDKL5	102.6925761	-0.21225413	0.21451635	-1.043443025	0.296743155	0.524557518
CAMK1G	5.836469506	-0.107099477	0.373688083	-0.460623306	0.645068888	0.816721422
CDK11A	22.34805213	-0.171108164	0.307800504	-0.538043973	0.590546691	0.778883203
NADK	1666.815402	0.751772343	0.121053452	6.19972041	5.66E-10	1.14E-08
TFAP2B	0.555495816	0.01884318	0.186563752	0.071576556	0.942938898	NA
TFAP2D	0	NA	NA	NA	NA	NA
DLEC1	6.003458071	-0.010194536	0.373660332	-0.337114861	0.736030315	0.870614255
CYTH3	3721.661266	1.157845788	0.100994019	11.45143994	2.31E-30	2.76E-28
ADAM22	18.10542742	-0.215421647	0.325463891	-0.656983066	0.511191805	0.719492675
SYPL1	1968.222945	0.269534754	0.104441803	2.579834982	0.009884754	0.041832063
CYB561	522.167271	0.00301029	0.108700507	0.024396987	0.980535952	0.98940614
SPAG9	2908.255873	-0.035694457	0.077096091	-0.463605284	0.642930568	0.815179868
CELSR3	87.47556089	0.2409255	0.199496248	1.196332491	0.231566834	0.446217631
AASS	722.8395853	1.069388193	0.104932174	10.18440433	2.33E-24	1.96E-22
PLEKHG6	7.73047092	0.318690807	0.37129328	0.744885167	0.456341143	0.674418321
SS18L2	122.0083464	0.492662494	0.19884949	2.477695604	0.01322339	0.052852947
MPND	82.62021014	0.057047806	0.197873831	0.271541225	0.785974797	0.896614958
MGST1	3597.211488	0.097532329	0.091327001	1.083668456	0.278511826	0.503500889
CRY1	268.5743713	0.079007645	0.154286786	0.519288057	0.603559881	0.788125353
PGLYRP1	1.722486496	0.450975108	0.29716246	1.485741449	0.137347523	NA
NFIX	10825.14138	-0.328702004	0.067722498	-4.853238006	1.21E-06	1.45E-05
ST3GAL1	1572.052235	-0.588866563	0.094922812	-6.217707765	5.04E-10	1.02E-08
MMP25	2.581247974	-0.193650993	0.343580093	-0.754301931	0.450667943	NA
IL32	183.1011575	-0.726765292	0.180832093	-3.901792066	9.55E-05	0.000761136
PKD1	5434.700829	0.462405872	0.125770209	3.670081545	0.000242473	0.001746522
MAPK8IP2	17.37879032	0.290589089	0.339277303	0.779930515	0.435431776	0.65703958
MED24	1153.613024	-0.029999062	0.092800062	-0.32542375	0.744860383	0.875804222
RHOBTB2	559.3546037	0.530621259	0.115992055	4.563331033	5.03E-06	5.40E-05
HEATR5B	709.412134	0.03651559	0.095318687	0.382395745	0.702167846	0.851522333
SEC62	5091.411611	0.166245606	0.079275139	2.097448133	0.035953924	0.116654161
RPS20	10837.14707	-0.042020207	0.071579877	-0.588540844	0.556169327	0.752938033
CSDE1	15812.0697	0.004125674	0.075977313	0.054555637	0.956492483	0.978345501
UBE3C	2105.648042	0.200397703	0.078571315	2.550512595	0.010756464	0.044792783
REV3L	7594.262171	1.062339317	0.122763107	8.63826681	5.71E-18	2.72E-16
TENM1	4.494060919	-0.372025652	0.363322622	-0.828047424	0.407643643	0.631023308
PAX7	0	NA	NA	NA	NA	NA
MASP2	39.37328442	-0.355972132	0.258360247	-1.347486628	0.177823557	0.377603028
IYD	1.040913275	0.351302411	0.234324903	1.615705	0.106158109	NA
FAM76A	174.6779556	0.533335149	0.170237706	3.116734621	0.001828661	0.01013356
TRAF3IP3	11.85830673	-0.161602006	0.352023818	-0.427455558	0.669047549	0.83176869
POMT2	420.0175735	0.078448625	0.117921932	0.663747511	0.506851925	0.71615994
VTA1	845.3164624	-0.059546638	0.096210951	-0.619487442	0.535595293	0.737422806
MLXIPL	2.453940234	0.522702791	0.316847827	1.375954983	0.168835571	NA
BAZ1B	2946.448129	-0.04505529	0.089253074	-0.503635918	0.614517247	0.795713212
RANBP9	1859.067812	0.697730764	0.121217967	5.746488478	9.11E-09	1.56E-07
ETV7	14.73277904	-0.606478668	0.340945197	-1.749667793	0.080175654	0.212021152
SPRTN	170.5403185	-0.065590903	0.152298395	-0.430451115	0.66686752	0.830862323
METTL13	907.8771332	-0.032758215	0.101394136	-0.324967178	0.745205912	0.876026463
DYRK4	186.9314708	-0.235087271	0.145015448	-1.622589619	0.104677161	0.258318354
ZNF207	2031.703399	0.114260477	0.077329438	1.477660144	0.139498767	0.318994399
UQCRC1	1798.287559	0.460065282	0.090942451	5.059869431	4.20E-07	5.45E-06
STARD3NL	770.6485512	0.043102271	0.103111696	0.420130203	0.67439034	0.83478608
CD9	3887.654679	0.555458352	0.094588333	5.873341454	4.27E-09	7.69E-08
HHATL	0	NA	NA	NA	NA	NA
NCAPD2	1193.388351	0.023913084	0.103285869	0.23028124	0.817873237	0.913830413
IFFO1	1204.968927	-0.077502516	0.095742882	-0.807127292	0.41959315	0.642910815
GIPR	14.35978866	-0.786617778	0.34425415	-2.251825136	0.024333325	0.085970406
PHF7	73.84707136	-0.029880777	0.224006386	-0.160332353	0.872619275	0.94004019
SEMA3G	0.646384646	-0.001630887	0.194613853	0.045338209	0.963837732	NA
NISCH	2571.791325	-0.266309087	0.079327256	-3.357904707	0.000785357	0.004919427
STAB1	0.651193277	0.064998286	0.216751898	0.345304489	0.729865472	NA
FUZ	183.180096	0.143160809	0.153875141	0.932584642	0.351034466	0.577063025
SLC6A13	0.752587745	-0.028075987	0.184372146	0.118649234	0.905553258	NA
IDS	1953.78396	0.183749457	0.08899565	2.057428012	0.039645073	0.125323372
PRSS3	14.30086126	0.072934952	0.350802161	0.158537506	0.874033269	0.940567792
ZNF200	121.3652756	-0.123338218	0.175239118	-0.707197941	0.479443478	0.693358398
CD4	58.13314176	-0.221091641	0.232848836	-0.98455555	0.324842432	0.552304293
LRRC23	143.0608562	-0.232694946	0.164496874	-1.412798407	0.157715007	0.347444232
BTK	0.195967645	0.007560358	0.152128056	0.047699892	0.96195542	NA
HFE	457.4889998	-0.156635082	0.130830661	-1.204154717	0.228529785	0.442549742
SCMH1	764.3356623	-0.009592994	0.098865492	-0.096692247	0.922970797	0.963464693
FYN	1685.773594	0.05181439	0.088678133	0.583957658	0.5592488	0.755796561
HIVEP2	1414.324436	-0.354937087	0.090873411	-3.90981807	9.24E-05	0.000738547
FMO1	32.48132874	0.407979423	0.34836628	1.820628962	0.068663277	0.190013421
ELOA	1101.747244	0.172865706	0.0922362	1.875755482	0.060688864	0.173670019
LYPLA2	464.9530252	0.20566409	0.110377708	1.85901793	0.063024597	0.178689656
CLCN6	620.9940711	0.084637402	0.109214858	0.771868709	0.440192192	0.660774898
MRC2	16677.39271	-0.223217427	0.076972439	-2.897647646	0.003759727	0.01868021
NME1-NME2	0	NA	NA	NA	NA	NA
SLC6A7	0.400074589	-0.022407215	0.152245267	-0.14746592	0.882764278	NA
TSPAN9	3563.434741	0.280397073	0.086426425	3.243912738	0.001178999	0.006937167
BTBD7	1189.911826	0.055979485	0.09206774	0.608555972	0.542818795	0.74278464
APBA3	191.2058385	0.09216781	0.150693561	0.606434113	0.544226522	0.743762676
MKS1	143.6079381	-0.295586153	0.159974398	-1.840284502	0.06572648	0.184485968
ABHD5	1160.912905	1.053985753	0.168481237	6.292273288	3.13E-10	6.45E-09
ANOS1	0.228981932	-0.054545661	0.152128056	-0.310742819	0.755996143	NA
AKAP8L	658.372297	-0.185276508	0.112296111	-1.650645591	0.098810964	0.247360053
MBTD1	369.5369781	-0.300096547	0.12760123	-2.353616663	0.018591773	0.069175393
UTP18	409.5406944	0.238263138	0.11869978	2.009449453	0.04448949	0.13743776
RNF216	1722.268195	0.006354984	0.079424564	0.078585733	0.937362136	0.970389697
TTC19	407.361705	0.120907195	0.125320792	0.963154782	0.335469853	0.562937592
PTBP1	3595.027061	0.34228961	0.076876229	4.453864639	8.43E-06	8.66E-05
DPF1	11.09350621	0.111347457	0.359106003	0.331338744	0.740388629	0.873169057
SYT7	148.662767	-0.860308614	0.185861315	-4.608903166	4.05E-06	4.43E-05
LARS2	428.0887774	0.028118496	0.114480413	0.245433063	0.806121131	0.907999132
PIK3C2A	1507.802788	0.346761937	0.082694549	4.193572117	2.75E-05	0.000249743
PLAUR	388.7796691	0.041491153	0.145337788	0.298193142	0.765555756	0.885945777
ANLN	225.9238919	-0.019674132	0.134791378	-0.148398112	0.88202859	0.943984301
WIZ	1527.157153	0.069001199	0.094535096	0.725687442	0.468030402	0.685046655
RABGAP1	2323.436159	0.414468096	0.109850641	3.760835815	0.000169347	0.00127508
DCN	298728.8552	-0.100391821	0.072781013	-1.377608459	0.168324208	0.363712582
QPCTL	141.8461942	0.64614783	0.165388145	3.903637376	9.48E-05	0.000756125
PPP5C	968.1940932	0.53329704	0.103128311	5.169225152	2.35E-07	3.21E-06
CEP68	825.2441208	0.150019561	0.117633345	1.274591187	0.202453979	0.409258425
MAP4K3	1398.324346	0.789284266	0.099616864	7.916815201	2.44E-15	9.13E-14
ZBTB32	2.780128213	0.096135222	0.329067013	0.367526554	0.713226289	NA
TYROBP	1.799267949	0.029593445	0.300111822	0.266322521	0.78999083	NA
LDAF1	892.3566088	0.10285507	0.118620734	0.864233837	0.387459448	0.612343562
GABRA3	0.139489653	0.038613367	0.152128056	0.241616321	0.809077474	NA
BRCA1	221.7053743	-1.155509379	0.16133232	-7.158149484	8.18E-13	2.29E-11
ERCC1	837.5874769	0.007835794	0.121948818	0.060861084	0.951469842	0.976757971
CD22	0.228925405	0.069666376	0.152128056	0.412690722	0.679833223	NA
SEMA3B	1270.658374	-0.725003146	0.103736321	-6.978446244	2.98E-12	7.83E-11
MBTPS2	724.2908761	0.108438572	0.102456336	1.056728897	0.290635333	0.517606981
PRICKLE3	122.5623505	0.155557684	0.174035636	0.878616484	0.379609255	0.604277228
LTF	0.970894811	0.031633653	0.205645505	0.317009409	0.751236463	NA
EXTL3	1260.49196	0.085107981	0.089374543	0.950245779	0.341987382	0.567982166
NR1H4	0.132012745	0.038613367	0.152128056	0.238145893	0.811767941	NA
ELOVL5	2387.021369	0.390116797	0.115209995	3.374021476	0.000740786	0.004679657
ALOX5	0.278979307	0.069666376	0.152128056	0.325844265	0.744542186	NA
KDM5D	797.838946	-0.120213716	0.119390847	-0.990461067	0.32194881	0.549278214
CALCOCO1	6065.106021	0.398547717	0.105653191	3.767500342	0.00016489	0.001243926
UBR7	539.5616447	-0.127807106	0.118203723	-1.088617147	0.276322752	0.500918021
MAP4K5	1886.353231	-0.103501026	0.078985457	-1.311747788	0.189605247	0.393471832
EHD3	1959.234847	0.445375351	0.14648536	2.982734273	0.002856859	0.014870904
PSMC4	938.2835083	0.129779849	0.09190728	1.410447887	0.158407474	0.348316018
MAN2B2	3152.133931	0.069121326	0.096251446	0.721807068	0.470413103	0.686731889
SLC7A14	245.3043532	-2.643850036	0.200266394	-13.14692516	1.77E-39	3.15E-37
CLDN11	3441.316734	-1.676730776	0.165267721	-10.21315257	1.73E-24	1.48E-22
SLC25A39	976.9063771	-0.021532141	0.096466158	-0.226182202	0.821059713	0.915682154
MVP	7761.128198	0.132580574	0.072903637	1.819008011	0.068910208	0.190426793
NUB1	1251.26966	0.162627044	0.09645877	1.688630969	0.091290172	0.233282167
PGM3	999.3853315	-0.28506097	0.106988712	-2.673241586	0.007512213	0.033364823
RWDD2A	251.3591669	-0.269672659	0.137659117	-1.965811754	0.04932036	0.148828355
CLK1	2672.564545	0.249301054	0.132076343	1.888891146	0.058906416	0.169532362
POLR3B	255.0110914	0.090053922	0.131676556	0.682885017	0.494679502	0.705922974
ANGEL1	345.9443948	-0.304956485	0.126915844	-2.403756503	0.016227578	0.062217005
